Direction,coded_direction,IWZ,Latitude,Longitude,Name,SegmentLength,Group,Group_new,ID,Linear-Reference,order,ProjectName,Portable,APS,Device,GID
EB,2,0,41.231883,-95.89085,CBDS 08 EB_2,0.655,i,Group 5 - 4.1 - I29,27,51.32,15,Project 4.1 - I-29,0,0,Sensor,56841
NB,1,0,41.238019,-95.899186,CBDS 05 I-29 NB,0.655,i,Group 5 - 4.1 - I29,28,51.85,13,Project 4.1 - I-29,0,0,Sensor,56841
NB,1,0,41.243277,-95.904915,CBDS 31 NB,0.38,i,Group 5 - 4.1 - I29,29,52.25,14,Project 4.1 - I-29,0,0,Sensor,57500
SB,2,0,41.242504,-95.905795,CBDS 31 SB,0.645,i,Group 5 - 4.1 - I29,30,52.25,16,Project 4.1 - I-29,0,0,Sensor,57500
NB,1,0,41.246867,-95.907133,CBDS 32 NB,0.35,i,Group 5 - 4.1 - I29,31,52.61,15,Project 4.1 - I-29,0,0,Sensor,57500
SB,2,0,41.246867,-95.907133,CBDS 32 SB,0.35,i,Group 5 - 4.1 - I29,32,52.61,17,Project 4.1 - I-29,0,0,Sensor,57500
NB,1,0,41.25165,-95.907133,CBDS 33 NB,0.345,i,Group 5 - 4.1 - I29,33,52.95,16,Project 4.1 - I-29,0,0,Sensor,58160
SB,2,0,41.25165,-95.907133,CBDS 33 SB,0.345,i,Group 5 - 4.1 - I29,34,52.95,18,Project 4.1 - I-29,0,0,Sensor,58160
NB,1,0,41.256997,-95.906761,CBDS 34 NB,0.47,i,Group 5 - 4.1 - I29,35,53.3,17,Project 4.1 - I-29,0,0,Sensor,58160
SB,2,0,41.256993,-95.906981,CBDS 34 SB,0.275,i,Group 5 - 4.1 - I29,36,53.3,19,Project 4.1 - I-29,0,0,Sensor,58160
SB,2,0,41.259183,-95.906866,CBDS 35 SB,0.355,i,Group 5 - 4.1 - I29,37,53.5,20,Project 4.1 - I-29,0,0,Sensor,58160
NB,1,0,41.2654,-95.9078,CBDS 37 NB,0.475,i,Group 5 - 4.1 - I29,38,53.89,18,Project 4.1 - I-29,0,0,Sensor,58820
SB,2,0,41.266883,-95.908033,CBDS 38 SB,0.375,i,Group 5 - 4.1 - I29,39,54.01,21,Project 4.1 - I-29,0,0,Sensor,58820
NB,1,0,41.269498,-95.905731,CBDS 40 NB,0.43,i,Group 5 - 4.1 - I29,40,54.25,19,Project 4.1 - I-29,0,0,Sensor,58820
SB,2,0,41.27027,-95.906332,CBDS 40 SB,0.37,i,Group 5 - 4.1 - I29,41,54.25,22,Project 4.1 - I-29,0,0,Sensor,58820
NB,1,0,41.272522,-95.898327,CBDS 41 NB,0.65,i,Group 5 - 4.1 - I29,42,54.75,20,Project 4.1 - I-29,0,0,Sensor,59481
SB,2,0,41.272706,-95.898456,CBDS 41 SB,0.65,i,Group 5 - 4.1 - I29,43,54.75,23,Project 4.1 - I-29,0,0,Sensor,59481
NB,1,0,41.274933,-95.885933,CBDS 42 NB,0.565,i,Group 5 - 4.1 - I29,44,55.55,21,Project 4.1 - I-29,0,0,Sensor,59482
SB,2,0,41.274933,-95.885933,CBDS 42 SB,0.565,i,Group 5 - 4.1 - I29,45,55.55,24,Project 4.1 - I-29,0,0,Sensor,59482
NB,1,0,41.275077,-95.877857,CBDS 43 NB,0.615,i,Group 5 - 4.1 - I29,46,55.88,22,Project 4.1 - I-29,0,0,Sensor,59483
SB,2,0,41.275742,-95.878329,CBDS 43 SB,0.65,i,Group 5 - 4.1 - I29,47,55.88,25,Project 4.1 - I-29,0,0,Sensor,59483
